Index	Height(Inches)	Weight(Pounds)
1	65.78331	112.9925
2	71.51521	136.4873
3	69.39874	153.0269
4	68.2166	142.3354
5	67.78781	144.2971
6	68.69784	123.3024
7	69.80204	141.4947
8	70.01472	136.4623
9	67.90265	112.3723
10	66.78236	120.6672
11	66.48769	127.4516
12	67.62333	114.143
13	68.30248	125.6107
14	67.11656	122.4618
15	68.27967	116.0866
16	71.0916	139.9975
17	66.461	129.5023
18	68.64927	142.9733
19	71.23033	137.9025
20	67.13118	124.0449
21	67.83379	141.2807
22	68.87881	143.5392
23	63.48115	97.90191
24	68.42187	129.5027
25	67.62804	141.8501
26	67.20864	129.7244
27	70.84235	142.4235
28	67.49434	131.5502
29	66.53401	108.3324
30	65.44098	113.8922
31	69.5233	103.3016
32	65.8132	120.7536
33	67.8163	125.7886
34	70.59505	136.2225
35	71.80484	140.1015
36	69.20613	128.7487
37	66.80368	141.7994
38	67.65893	121.2319
39	67.80701	131.3478
40	64.04535	106.7115
41	68.57463	124.3598
42	65.18357	124.8591
43	69.65814	139.6711
44	67.96731	137.3696
45	65.98088	106.4499
46	68.67249	128.7639
47	66.88088	145.6837
48	67.69868	116.819
49	69.82117	143.6215
50	69.08817	134.9325
51	69.91479	147.0219
52	67.33182	126.3285
53	70.26939	125.4839
54	69.10344	115.7084
55	65.38356	123.4892
56	70.18447	147.8926
57	70.40617	155.8987
58	66.54376	128.0742
59	66.36418	119.3701
60	67.537	133.8148
61	66.50418	128.7325
62	68.99958	137.5453
63	68.30355	129.7604
64	67.01255	128.824
65	70.80592	135.3165
66	68.21951	109.6113
67	69.05914	142.4684
68	67.73103	132.749
69	67.21568	103.5275
70	67.36763	124.7299
71	65.27033	129.3137
72	70.84278	134.0175
73	69.92442	140.3969
74	64.28508	102.8351
75	68.2452	128.5214
76	66.35708	120.2991
77	68.36275	138.6036
78	65.4769	132.9574
79	69.71947	115.6233
80	67.72554	122.524
81	68.63941	134.6254
82	66.78405	121.8986
83	70.05147	155.3767
84	66.27848	128.9418
85	69.20198	129.1013
86	69.13481	139.4733
87	67.36436	140.8901
88	70.09297	131.5916
89	70.1766	121.1232
90	68.22556	131.5127
91	68.12932	136.5479
92	70.24256	141.4896
93	71.48752	140.6104
94	69.20477	112.1413
95	70.06306	133.457
96	70.55703	131.8001
97	66.28644	120.0285
98	63.42577	123.0972
99	66.76711	128.1432
100	68.88741	115.4759
101	64.87434	102.0927
102	67.09272	130.353
103	68.34761	134.1842
104	65.61073	98.64133
105	67.75551	114.5599
106	68.0212	123.4917
107	67.66193	123.048
108	66.3146	126.4772
109	69.43706	128.417
110	63.83624	127.1941
111	67.72277	122.0562
112	70.05098	127.6064
113	70.18602	131.6423
114	65.94588	111.8955
115	70.007	122.039
116	68.61129	128.5547
117	68.80817	132.6792
118	69.76212	136.0632
119	65.45539	115.9403
120	68.82534	136.9041
121	65.8003	119.8804
122	67.21474	109.0055
123	69.42021	128.2705
124	68.94396	135.2913
125	67.9415	106.8558
126	65.62506	123.2939
127	66.49607	109.5143
128	67.92809	119.3087
129	68.89415	140.2402
130	70.241	133.9841
131	68.26623	132.5807
132	71.23161	130.6988
133	69.09747	115.5637
134	64.39693	123.7941
135	71.09585	128.1427
136	68.21868	135.9646
137	65.91721	116.6273
138	67.4369	126.8241
139	73.90107	151.3913
140	69.98149	130.4022
141	69.51862	136.2068
142	65.18437	113.3989
143	68.00869	125.3287
144	68.3384	127.5846
145	65.18417	107.1564
146	68.26209	116.4588
147	68.56865	133.8402
148	64.49675	112.8901
149	68.71053	130.7568
150	68.89148	137.7571
